sample_accession,sample_name,assembler,assembly_type,assembly_accession,FASTA
ERS1813013,2014E Limousin Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922496,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922496/10572_0036_idba.fa.gz
ERS1813019,2014E Limousin Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922497,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922497/10572_0042_idba.fa.gz
ERS1813014,2014E Aberdeen Angus Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922498,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922498/10572_0037_idba.fa.gz
ERS1813018,2014E Aberdeen Angus Medium Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922499,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922499/10572_0041_idba.fa.gz
ERS1813017,2014E Limousin Medium Concentration Diet Low Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922500,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922500/10572_0040_idba.fa.gz
ERS1813016,2014E Aberdeen Angus Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922501,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922501/10572_0039_idba.fa.gz
ERS1813011,2014E Aberdeen Angus Medium Concentration Diet High Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922502,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922502/10572_0034_idba.fa.gz
ERS1813012,2014E Aberdeen Angus Medium Concentration Diet High Emitter  High Feed Conversion Ratio,IDBA-UD,single sample,ERZ922503,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922503/10572_0035_idba.fa.gz
ERS1813009,2014E Aberdeen Angus Medium Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922504,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922504/10572_0032_idba.fa.gz
ERS1813010,2014E Aberdeen Angus Medium Concentration Diet Low Emitter Low Feed Conversion Ratio,IDBA-UD,single sample,ERZ922505,ftp.sra.ebi.ac.uk/vol1/ERZ922/ERZ922505/10572_0033_idba.fa.gz
